,machine,reward,num_actions,max_RUL,slack,reward_estimate
245,246,-343,143,143,0,-2.4
246,247,-409,77,77,0,-5.31
247,248,-162,39,156,117,-1.04
248,249,-184,17,69,52,-2.67
249,250,380,181,195,14,1.95
250,251,-161,40,140,100,-1.15
251,252,48,48,89,41,0.54
252,253,-341,145,145,0,-2.35
253,254,-429,57,57,0,-7.53
254,255,-415,71,71,0,-5.85
255,256,273,74,74,0,3.69
256,257,60,60,160,100,0.38
257,258,-316,170,170,0,-1.86
258,259,363,164,186,22,1.95
259,260,-363,123,123,0,-2.95
260,261,322,123,173,50,1.86
261,262,355,156,184,28,1.93
262,263,-182,19,143,124,-1.27
263,264,-186,15,198,183,-0.94
264,265,-452,34,34,0,-13.29
265,266,-390,96,96,0,-4.06
266,267,-199,2,77,75,-2.58
267,268,38,38,106,68,0.36
268,269,-407,79,79,0,-5.15
269,270,-402,84,84,0,-4.79
270,271,-183,18,242,224,-0.76
271,272,-359,127,127,0,-2.83
272,273,-370,116,116,0,-3.19
273,274,-436,50,50,0,-8.72
274,275,48,48,82,34,0.59
275,276,125,125,199,74,0.63
276,277,71,71,190,119,0.37
277,278,-433,53,53,0,-8.17
278,279,-173,28,155,127,-1.12
279,280,-185,16,153,137,-1.21
280,281,122,122,198,76,0.62
281,282,78,78,133,55,0.59
282,283,-337,149,149,0,-2.26
283,284,-423,63,63,0,-6.71
284,285,424,225,253,28,1.68
285,286,61,61,165,104,0.37
286,287,277,78,83,5,3.34
287,288,-401,85,85,0,-4.72
288,289,-178,23,177,154,-1.01
289,290,94,94,157,63,0.6
290,291,42,42,94,52,0.45
291,292,-326,160,160,0,-2.04
292,293,162,162,244,82,0.66
293,294,-198,3,49,46,-4.04
294,295,399,200,261,61,1.53
295,296,-378,108,108,0,-3.5
296,297,-428,58,58,0,-7.38
297,298,-367,119,119,0,-3.08
298,299,-171,30,116,86,-1.47
299,300,-427,59,59,0,-7.24
300,301,-462,24,24,0,-19.25
301,302,69,69,123,54,0.56
302,303,-372,114,114,0,-3.26
303,304,-446,40,40,0,-11.15
304,305,-456,30,30,0,-15.2
305,306,-325,161,161,0,-2.02
306,307,50,50,140,90,0.36
307,308,-175,26,165,139,-1.06
308,309,-356,130,130,0,-2.74
309,310,379,180,181,1,2.09
310,311,-177,24,154,130,-1.15
311,312,-181,20,186,166,-0.97
312,313,-328,158,158,0,-2.08
313,314,-412,74,74,0,-5.57
314,315,255,56,70,14,3.64
315,316,63,63,99,36,0.64
316,317,-187,14,48,34,-3.9
317,318,-454,32,32,0,-14.19
318,319,331,132,160,28,2.07
319,320,-196,5,53,48,-3.7
320,321,-432,54,54,0,-8.0
321,322,-149,52,179,127,-0.83
322,323,-458,28,28,0,-16.36
323,324,-444,42,42,0,-10.57
324,325,-151,50,165,115,-0.92
325,326,320,121,164,43,1.95
326,327,110,110,179,69,0.61
327,328,27,27,43,16,0.63
328,329,-378,108,108,0,-3.5
329,330,-362,124,124,0,-2.92
330,331,119,119,186,67,0.64
331,332,-199,2,158,156,-1.26
332,333,229,30,39,9,5.87
333,334,-165,36,146,110,-1.13
334,335,-178,23,101,78,-1.76
335,336,-174,27,273,246,-0.64
336,337,-161,40,234,194,-0.69
337,338,53,53,93,40,0.57
338,339,-182,19,105,86,-1.73
339,340,241,42,49,7,4.92
340,341,-443,43,43,0,-10.3
341,342,-293,193,193,0,-1.52
342,343,-447,39,39,0,-11.46
343,344,-195,6,48,42,-4.06
344,345,-162,39,264,225,-0.61
345,346,-407,79,79,0,-5.15
346,347,-400,86,86,0,-4.65
347,348,-189,12,161,149,-1.17
348,349,-191,10,35,25,-5.46
349,350,-149,52,233,181,-0.64
350,351,-423,63,63,0,-6.71
351,352,151,151,248,97,0.61
352,353,-175,26,138,112,-1.27
353,354,71,71,130,59,0.55
354,355,-187,14,149,135,-1.26
355,356,-428,58,58,0,-7.38
356,357,-169,32,198,166,-0.85
357,358,-389,97,97,0,-4.01
358,359,-364,122,122,0,-2.98
359,360,-152,49,232,183,-0.66
360,361,-166,35,123,88,-1.35
361,362,-155,46,233,187,-0.67
362,363,-419,67,67,0,-6.25
363,364,-197,4,137,133,-1.44
364,365,-194,7,63,56,-3.08
365,366,-198,3,157,154,-1.26
366,367,-198,3,191,188,-1.04
367,368,-176,25,237,212,-0.74
368,369,44,44,130,86,0.34
369,370,70,70,102,32,0.69
370,371,59,59,145,86,0.41
371,372,-200,1,64,63,-3.12
372,373,-184,17,168,151,-1.1
373,374,36,36,111,75,0.32
374,375,-178,23,125,102,-1.42
375,376,122,122,229,107,0.53
376,377,80,80,243,163,0.33
377,378,54,54,114,60,0.47
378,379,-170,31,206,175,-0.83
379,380,172,172,262,90,0.66
