,machine,reward,num_actions,max_RUL
525,526,36,36,149
526,527,36,36,240
527,528,24,24,161
528,529,146,146,189
529,530,12,12,291
530,531,22,22,117
531,532,17,17,148
532,533,89,89,222
533,534,26,26,202
534,535,-439,47,47
535,536,13,13,107
536,537,57,57,105
537,538,13,13,183
538,539,87,87,111
539,540,-427,59,59
540,541,11,11,145
541,542,7,7,273
542,543,-399,87,87
543,544,12,12,173
544,545,3,3,253
545,546,7,7,166
546,547,10,10,139
547,548,58,58,284
548,549,12,12,117
549,550,33,33,143
550,551,37,37,115
551,552,19,19,199
552,553,51,51,104
553,554,43,43,109
554,555,55,55,122
555,556,45,45,50
556,557,34,34,81
557,558,39,39,236
558,559,23,23,195
559,560,5,5,165
560,561,5,5,442
561,562,12,12,144
562,563,7,7,64
563,564,11,11,350
564,565,90,90,147
565,566,-366,120,120
566,567,7,7,144
567,568,31,31,65
568,569,22,22,347
569,570,9,9,341
570,571,39,39,87
571,572,95,95,131
572,573,28,28,217
573,574,17,17,81
574,575,16,16,160
575,576,57,57,96
576,577,13,13,177
577,578,9,9,227
578,579,122,122,169
579,580,4,4,193
580,581,37,37,116
581,582,90,90,235
582,583,120,120,229
583,584,-466,20,20
584,585,39,39,219
585,586,-389,97,97
586,587,1,1,138
587,588,32,32,314
588,589,2,2,106
589,590,78,78,192
590,591,9,9,114
591,592,29,29,73
592,593,4,4,265
593,594,24,24,434
594,595,36,36,55
595,596,42,42,290
596,597,39,39,238
597,598,75,75,87
598,599,29,29,159
599,600,-468,18,18
600,601,35,35,68
601,602,24,24,326
602,603,-453,33,33
603,604,22,22,101
604,605,16,16,83
605,606,38,38,115
606,607,21,21,125
607,608,8,8,319
608,609,20,20,201
609,610,102,102,284
610,611,3,3,194
611,612,91,91,129
612,613,8,8,121
613,614,92,92,160
614,615,-459,27,27
615,616,26,26,137
616,617,1,1,170
617,618,51,51,159
618,619,7,7,121
619,620,37,37,256
620,621,19,19,98
621,622,4,4,121
622,623,3,3,28
623,624,27,27,177
624,625,-424,62,62
625,626,23,23,98
626,627,5,5,73
627,628,7,7,33
628,629,11,11,47
629,630,51,51,354
630,631,33,33,131
631,632,36,36,150
632,633,16,16,134
633,634,29,29,115
634,635,-302,184,184
635,636,8,8,145
636,637,40,40,278
637,638,47,47,261
638,639,31,31,366
639,640,34,34,198
640,641,17,17,97
641,642,12,12,124
642,643,3,3,153
643,644,6,6,202
644,645,43,43,46
645,646,3,3,120
646,647,11,11,156
647,648,28,28,106
648,649,28,28,199
649,650,-416,70,70
650,651,35,35,202
651,652,18,18,262
652,653,16,16,213
653,654,27,27,185
654,655,26,26,69
655,656,-291,195,195
656,657,-372,114,114
657,658,44,44,176
658,659,27,27,114
659,660,100,100,138
660,661,11,11,221
661,662,21,21,86
662,663,-468,18,18
663,664,4,4,94
664,665,54,54,290
665,666,3,3,178
666,667,48,48,179
667,668,76,76,170
668,669,22,22,134
669,670,14,14,205
670,671,11,11,260
671,672,105,105,287
672,673,14,14,101
673,674,7,7,71
674,675,5,5,263
675,676,19,19,140
676,677,5,5,62
677,678,12,12,109
678,679,26,26,64
679,680,3,3,175
680,681,10,10,177
681,682,30,30,304
682,683,8,8,151
683,684,13,13,38
684,685,29,29,58
685,686,28,28,61
686,687,103,103,125
687,688,-467,19,19
688,689,97,97,156
689,690,8,8,229
690,691,31,31,369
691,692,47,47,110
692,693,56,56,178
693,694,100,100,361
694,695,1,1,175
695,696,32,32,220
696,697,32,32,176
697,698,-459,27,27
698,699,41,41,203
699,700,26,26,41
700,701,28,28,111
701,702,22,22,198
702,703,4,4,183
703,704,-424,62,62
704,705,25,25,28
705,706,19,19,93
706,707,-456,30,280
